project, status, reproducibleVariants, nonReproducibleVariants, stars
falcon-apispec, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 44
fatpack, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 91
fcm-django, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'], ['build_path'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 684
firexapp, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'timezone'], ['build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'umask'], 7
flake8-eradicate, Fully Reproducible, ['all'], [], 302
flake8-gl-codeclimate, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 22
flashday, Fully Reproducible, ['all'], [], 0
flow-network, Fully Reproducible, ['all'], [], 2
fuzzyfinder, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'], ['build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 367
gapic-google-cloud-logging-v2, Fully Reproducible, ['all'], [], 5711
insightface, Fully Reproducible, ['all'], [], 16621
javaobj-py3, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 75
jsonpickle, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'], ['build_path'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1142
jupyterlab-widgets, Fully Reproducible, ['all'], [], 2836
kaggler, Fully Reproducible, ['all'], [], 727
kglobal, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'], ['build_path'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 0
linecache2, Fully Reproducible, ['all'], [], 1
logger-bundle, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 0
lorem, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'home'; 'locales'; 'time'; 'umask'], 24
makefun, Fully Reproducible, ['all'], [], 92
minisom, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1261
