project, status, reproducibleVariants, nonReproducibleVariants, stars
qs, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7913
cross-env, Fully Reproducible, ['all'], [], 6112
tape, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5742
prop-types, Fully Reproducible, ['all'], [], 4359
eslint-plugin-vue, Fully Reproducible, ['all'], [], 4130
eslint-plugin-prettier, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2625
eslint-config-standard, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2483
file-loader, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1874
url-loader, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1403
react-test-renderer, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 210803
react-addons-test-utils, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 210803
next, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 109554
react-app-polyfill, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
babel-preset-react-app, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
three, Fully Reproducible, ['all'], [], 93484
lodash.debounce, Fully Reproducible, ['all'], [], 56815
lodash.camelcase, Fully Reproducible, ['all'], [], 56815
lodash.get, Fully Reproducible, ['all'], [], 56815
lodash.clonedeep, Fully Reproducible, ['all'], [], 56815
lodash.merge, Fully Reproducible, ['all'], [], 56815
marked, Fully Reproducible, ['all'], [], 30122
whatwg-fetch, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 25776
validator, Fully Reproducible, ['all'], [], 21513
bluebird, Fully Reproducible, ['all'], [], 20328
jasmine-core, Fully Reproducible, ['all'], [], 15587
q, Fully Reproducible, ['all'], [], 14959
browserify, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 14423
uglify-js, Fully Reproducible, ['all'], [], 12426
co, Fully Reproducible, ['all'], [], 11839
istanbul, Fully Reproducible, ['all'], [], 8649
ora, Fully Reproducible, ['all'], [], 8496
ejs, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7190
js-yaml, Fully Reproducible, ['all'], [], 5971
json5, Fully Reproducible, ['all'], [], 5933
execa, Fully Reproducible, ['all'], [], 5816
npm-run-all, Fully Reproducible, ['all'], [], 5415
nyc, Fully Reproducible, ['all'], [], 5377
colors, Fully Reproducible, ['all'], [], 5108
mini-css-extract-plugin, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 4601
color, Fully Reproducible, ['all'], [], 4595
big.js, Fully Reproducible, ['all'], [], 4458
babel-preset-env, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3519
meow, Fully Reproducible, ['all'], [], 3265
eslint-plugin-jsx-a11y, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3180
minimatch, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3042
eventemitter3, Fully Reproducible, ['all'], [], 3027
babel-eslint, Fully Reproducible, ['all'], [], 2971
webpack-cli, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2502
graceful-fs, Fully Reproducible, ['all'], [], 1228
readable-stream, Fully Reproducible, ['all'], [], 1001
eslint-plugin-promise, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 761
resolve, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 737
deep-equal, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 730
ini, Fully Reproducible, ['all'], [], 726
karma-chrome-launcher, Fully Reproducible, ['all'], [], 462
strip-ansi, Fully Reproducible, ['all'], [], 359
scheduler, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 210803
react, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 210803
eslint-config-react-app, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
babel-plugin-named-asset-import, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
react-dev-utils, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
confusing-browser-globals, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
@fortawesome/fontawesome-svg-core, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 71761
font-awesome, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 71761
@fortawesome/free-solid-svg-icons, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 71761
svelte, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 71172
lodash-es, Fully Reproducible, ['all'], [], 56815
lodash.isequal, Fully Reproducible, ['all'], [], 56815
cypress, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 44245
