projectName,URL,slug
dosk,https://github.com/stelligent/dosk,stelligent/dosk
dossier-label,https://github.com/dossier/dossier.label,dossier/dossier.label
dotadevkit,https://github.com/ashnair1/dotadevkit,ashnair1/dotadevkit
dotenv,https://github.com/pedroburon/dotenv,pedroburon/dotenv
dotenv-python,https://github.com/TsuiJie/dotenv-python.git,TsuiJie/dotenv-python
dotmap,https://github.com/drgrib/dotmap,drgrib/dotmap
dotnetcore2,https://github.com/dotnet/core,dotnet/core
dotscience,https://github.com/dotmesh-io/dotscience-python,dotmesh-io/dotscience-python
dotstrings,https://github.com/Microsoft/dotstrings,Microsoft/dotstrings
dotted,https://github.com/carlosescri/DottedDict,carlosescri/DottedDict
dotted-dict,https://github.com/josh-paul/dotted_dict,josh-paul/dotted_dict
dotty-dict,https://github.com/pawelzny/dotty_dict,pawelzny/dotty_dict
douban-fm,https://github.com/taizilongxu/douban.fm,taizilongxu/douban.fm
doubles,https://github.com/uber/doubles,uber/doubles
doublethink,https://github.com/internetarchive/doublethink,internetarchive/doublethink
doughnuts,https://github.com/way29/doughnuts,way29/doughnuts
dowel,https://github.com/rlworkgroup/dowel,rlworkgroup/dowel
dowhy,https://github.com/microsoft/dowhy,microsoft/dowhy
download,https://github.com/choldgraf/download,choldgraf/download
downloadutil,https://github.com/yugabyte/downloadutil,yugabyte/downloadutil
dowser,https://github.com/Infinidat/dowser,Infinidat/dowser
dozer,https://github.com/mgedmin/dozer,mgedmin/dozer
dparse,https://github.com/pyupio/dparse,pyupio/dparse
dpcontracts,https://github.com/deadpixi/contracts,deadpixi/contracts
dpkt,https://github.com/kbandla/dpkt,kbandla/dpkt
dpsutil,https://github.com/TinDang97/DPS_Util,TinDang97/DPS_Util
dqcsim,https://github.com/qe-lab/dqcsim,qe-lab/dqcsim
dqrobotics,https://github.com/dqrobotics/python,dqrobotics/python
dqsegdb2,https://github.com/duncanmmacleod/dqsegdb2,duncanmmacleod/dqsegdb2
dracopy,https://github.com/seung-lab/DracoPy,seung-lab/DracoPy
draftfast,https://github.com/BenBrostoff/draftfast,BenBrostoff/draftfast
draftjs-exporter,https://github.com/springload/draftjs_exporter,springload/draftjs_exporter
